Year,Global (simple average),Global (GDP weighted average),Advanced economies,Emerging economies,Low-income economies,Africa,Asia and the Pacific,Europe,Middle East and Central Asia,Western Hemisphere,AUS,CHN,IND,KOR,JPN,TWN,PHL,SGP,THA,MYS,IDN
1990q1,9411.2,12496.47,13599.84,8040.51,5142.68,5460.38,6085.13,14842.05,4612.3,15472.91,0,0,8313.24,6386.92,5642.07,0,46800.83,23300.52,27297.54,6790.25,9651.58
1990q2,9267.29,8769.97,8297.87,11064.61,6629.92,12754.11,9212.48,8833.55,10984.43,8050.25,0,0,11196.95,0,9429.96,28208.74,41967.43,0,19938.19,21838.83,11618.45
1990q3,13230.89,16198.83,17522.03,10177.31,16612.99,17222.16,13122.7,23189.97,16790.86,10986.88,0,0,22048.29,0,12204.05,0,7204.09,9269.56,27475.04,9556.58,5849.66
1990q4,10886.61,11872.27,12405.35,9755.99,7821.92,17774.52,13823.93,16097.06,19038.61,5276.46,29647.2,0,8835.48,0,18860.81,0,0,11259.36,0,15196.41,16371.97
1991q1,9446.46,8223.55,6740.44,14966.6,8688.8,9387.38,4772.08,10867.02,9431.76,7738.64,0,15527.95,32735.9,0,0,12229.42,0,31256.51,0,7032.35,23856.1
1991q2,10922.48,10483.81,8937.92,17554.59,10362.92,17124,7000.71,17327.35,9434.86,5576.25,0,0,35360.68,0,4767.81,28790.24,0,9864.37,8543.36,26125.58,22243.97
1991q3,9657.11,6208.32,5215.46,10338.57,12018.13,17713.26,4185.29,6788.33,10650.35,6222.6,20533.88,8646.78,0,0,0,6837.14,5841.8,5600.67,31128.4,8257.64,11439.68
1991q4,8470.17,7314.13,6426.27,11707.3,2486.3,14824.91,4651.48,10582.67,13718.86,4909.73,0,0,28113.58,5703.53,0,13998.74,20294.95,5986.59,49908.5,7453.23,15580.37
1992q1,10889,12616.9,13047.69,10893.75,9364.92,15686.75,19180.39,14594.45,9184,6043.93,0,8143.99,0,5296.61,17586.03,0,23540.49,17678.26,40963.46,0,22843.22
1992q2,12753.2,7358.84,6136.86,12405.22,14214.37,10585.55,4119.18,11450.99,14830.85,4652.48,38189.8,0,6690.31,12536.04,0,6961.85,29262.01,23020.26,57507.62,12103.61,15933.08
